CollectionID,Title,Identifier,FeaturedText,Description,Strengths,PhysicalCharacteristics,CollectionType,AccessControl,AccrualPolicy,AccrualMethod,AccrualPeriodicity,AccrualGenStatement,CollectionNotes,LegalStatus,CustodialHistory,CollectionTemporalStart,CollectionTemporalEnd,AccumulationDateStart,AccumulationDateEnd,ContentsDateStart,ContentsDateEnd,DescriptionOrCatalogue,PublicationsNote,LocationID,OwnerID,OldCollectionID,ModerationFlag,LastUpdate,URLToCollection,oaiSet,InProgress,NorthernBridgeEntry,name_ids,area_ids,collector_ids,media_ids,subject_ids,asscociated_ids,language_ids
1,Papers of J.L.E. Dreyer,,The Dreyer papers reflect the lifetime interests of Dr J.L.E. Dreyer. He was Director of the Armagh Observatory from 1882 until 1916.,"The Dreyer papers reflect the lifetime interests of Dr J.L.E. Dreyer. He was Director of the Armagh Observatory from 1882 until 1916. The papers consist of letters and manuscripts of his major publications - The New General Catalogue of Nebulae and Clusters of Stars (NGC), his biography of Tycho Brahe, and that of his History of Planetary systems from Thales to Kepler. Dreyer's copy of the NGC is annotated by the author with all corrections then known to him. There is also a manuscript copy of the Minutes Book by Dreyer, which was donated by him to the Observatory in August 1916, it covers the period 1820-1865. There is also a manuscript of A Short Account of Sir William Herschel's Life and Work, along with notes.","Dreyer's personal annotated copy of the New General Catalogue of Nebulae and Clusters of Stars. Original manuscripts of Dreyer's major seminal works, including Tycho Brahe, History of the Planetary Systems from Thales to Kepler, published in 1906. Reprinted by Dover Publications, Inc. in 1953 as: A History of Astronomy from Thales to Kepler, revised by W.H. Stahl.",3 shelf-metres,Collection.Archive.Text.Special,The material in this collection is for reference only.,Closed,Donation,Closed,,,,,1820,1916,1882,1916,1882,1912,Catalogues http://star.arm.ac.uk/library/,,2,95,412,-1,6/20/2014,http://www.rascal.ac.uk/index.php?CollectionID=1,rascal,0,,,1,498,4,11,,177
2,Papers of J. A. Hamilton ,,,"The J. A. Hamilton Papers at Armagh Observatory consist of his letters and treatises on his observations recorded at the Observatory in Armagh.  A number of the letters are from Neville Maskelyne, the Astronomer Royal for England. Maskelyne wrote detailing the requirements for a modern observatory and offered to vet and purchase equipment in London.  Hamilton corresponded with other key figures in astronomy at that time, namely J Troughton, Earnshaw, Brinkley at Dunsink Observatory and the Board of Longitude.  The letters are concerned with various astronomical observations which he recorded.  Some of the letters make reference to events taking place at the time - the firing of canon in Dublin at night (1805) and the Napoleonic Wars (1814).  Included in the collection are manuscripts and notes to the Royal Irish Academy, discussing theories and methods of measurement.","Material relating to first instruments used, and measurements recorded at Armagh Observatory.",1 shelf-metre,Collection.Archive.,The material in this collection is for reference only.,Closed,Donation,Closed,,,,,,,,,1783,1815,"Itemised list at: <a href=""http://star.arm.ac.uk/history/archives.html"" target=""new_window"">http://star.arm.ac.uk/history/archives.html</a>.",,2,95,413,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=2,rascal,0,,"225,248,249,788,1157,1543",,62,,,,177
3,Papers of E.M. Lindsay,,,"The E.M. Lindsay papers reflect the lifetime interests and work of Dr E.M. Lindsay. He was Director of the Armagh Observatory from 1937 until 1974, and instrumental in obtaining a secure funding line for the Observatory.  Lindsay also founded the Armagh Planetarium in 1968.  The papers consist of letters and manuscripts of his major publications on the Milky Way and its neighbour galaxies, the Magellanic Clouds, together with a wide range of administrative documents.","Provides an insight into the role of Armagh Observatory at a pivotal period in the development of Irish astronomy, both in Northern Ireland and the Republic of Ireland. Lindsay also had many international connections, notably founding the Armagh-Dunsink-Harvard telescope in Bloemfontein, South Africa, and was a key player in both UK and Irish astronomy.",5 shelf-metres,Collection.Archive.,The material in this collection is for reference only.,Closed,Donation,Closed,,,,,,,,,1937,1974,Partial itemised typed list.,,2,95,414,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=3,rascal,0,,1055,,54,,,,177
4,Meteorological Records and Observations,,,"The Meteorological Records held at Armagh Observatory consist of comprehensive measurements from 1795 - present day.  There are also some measurements for the period December 1783 - January 1784 thought to be taken by Hamilton in Cookstown.  Included in the collection are a number of barometer readings for the six months from January to June 1788 at Cookstown, Charlesfort, Creggan and Athlone and a book of manuscript observations of meteorological conditions in Glendooen, County Donegal during the years 1846-1868, with many comments on crops, etc.  These records are further supplemented by similar records for 1867-1883 and a study of 7- and 11-year cycles in weather records of Glendooen.  There is also a collection of letters from 1869-1939 to the observatory concerning meteorological observations at Armagh.","More than 200 years of systematic meteorological observations,  believed to be the longest series of homogeneous meteorological data for any site in the UK and Ireland. Maintained on a daily basis.",c.50 volumes of meteorological records 1794 - present day.,Collection.Archive.,The material in this collection is for reference only.,Active,Donation,Regular,,,,,,,,,1783,,"Itemised list at: <a href=""http://star.arm.ac.uk"" target=""new_window"">http://star.arm.ac.uk</a> and <a href=""http://climate.arm.ac.uk"" target=""new_window"">http://climate.arm.ac.uk</a>.",,2,95,415,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=4,rascal,0,,75,,54,,,,177
5,Papers of E.J. Opik,,,"The Opik papers reflect the lifetime interests and scientific activities of Dr E J Opik, one of the foremost astronomers of his generation.  He was Research Associate at the Armagh Observatory from 1948 until 1981 and Acting Director of the Armagh Observatory from 1974 - 1976. The papers consist of his scientific correspondence including referee reports, and manuscripts of his major publications.",Unique collection of Opik's scientific correspondence and astronomical papers.,5 shelf-metres,Collection.Archive.,The material in this collection is for reference only.,Closed,Donation,Closed,,,,,,,,,1948,1981,"Partial itemised typed list;  ""The Collected Works of Ernst Julius Opik,"" compiled by J. McFarland (Armagh Observatory, 1983-85, 8 Volumes);",,2,95,416,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=5,rascal,0,,1368,,54,,,,177
6,Preprints and Modern Research Publications,,,Preprints containing results of scientific investigations which have been authored or co-authored by Observatory staff.,"Major portions devoted to Solar and Stellar Astrophysics, Solar System Dynamics, Solar System-Terrestrial Relationships including Climate.",c.400 preprints to date.,Collection.Archive.,Usually published in the principal astronomical and astrophysical journals.,Active,Donation,Regular,,,,,,,,,1985,,"Itemised list at: <a href=""http://star.arm.ac.uk/preprints/"" target=""new_window"">Itemised list at http://star.arm.ac.uk/preprints/</a>",,2,95,417,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=6,rascal,0,,71,,54,,,,177
7,Armagh-Newry Railway Collection,,,"The Railway Documents at Armagh Observatory provide some interesting documentary evidence to the history of the Newry and Armagh Railway.  The documents range from the manuscript copy of ""Minutes of evidence"" House of Commons Session 1853, London and North Western (Tring and Oxford) Railway Bill, evidence by Proposer Robinson, Sir Francis Beaufort and Professor Johnson, 31 May 1853, a letter from Newry and Enniskillen Railway, 4 Nov 1856, concerning their plans to build a line near Armagh to the draft petition by the Governors and Guardians of Armagh Observatory to Parliament against the Railway Bill, 1857.  Included in the collection is the  draft Act of Parliament regarding the Newry and Enniskillen Railway, 21 July 1845.  The papers and documents relating to the construction of the Newry and Armagh Railway include a copy of the letter from  the Governors and Guardians of the Observatory in 1874, giving Newry and Armagh Railway permission to encroach within 760 yards of the Observatory provided speed does not exceed 5 mph, with 3 coloured maps showing the relative position of the Observatory and the proposed station and lines.",Background information to the planning and construction of the Newry and Armagh Railway.,Documents: c.100 pages. Maps: 4.,Collection.Archive.,The material in this collection is for reference only.,Closed,Donation,Closed,,,,,,,,,1853,1874,"Itemised list at: <a href=""http://star.arm.ac.uk/history/archives.html#Sect6"" target=""new_window"">http://star.arm.ac.uk/history/archives.html#Sect6</a>.",,2,95,418,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=7,rascal,0,,"107,134,969,1510",,54,,,,177
8,Papers of T.R. Robinson,,,"The T.R. Robinson papers at Armagh Observatory reflect T.R. Robinson's life and interests.  They consist of a mixture of published and unpublished papers and newspaper reports, manuscript notebooks of the results of various experiments as well as sermons and speeches to learned and church societies.  Included in this collection is a series of letters to and from Robinson, mainly concerning financial matters.  This correspondence was with Dr Reeves, Dean of Armagh, covering the time period 1842-1880 and dealing with buildings, ecclesiastical and political matters, Leonard Dobbin, J. A. Ball, C. Rivers Wilson and Sir Edward A Sabine, concerning Observatory lands, tithes at Carlingford, notes on rents and the case of the Observatory in Irish Churches Bill.  A copy of a book of poems written by T. R. Robinson before the age of 12 years, published privately in Belfast in 1806 also forms part of the collection. Robinson compiled the first Armagh Catalogue of stars which he published in 1859.   It established the position of Armagh Observatory as a scientific institution of national and international importance.",Comprehensive range of papers which give an insight into the day to day life of the Director as well as the administration of the Observatory.,3 shelf-metres,Collection.Archive.,The material in this collection is for reference only.,Closed,Donation,Closed,,,,,,,,,1823,1882,"Itemised list at: <a href=""http://star.arm.ac.uk/history/archives.html#Sect13"" target=""new_window"">http://star.arm.ac.uk/history/archives.html#Sect13</a>.",,2,95,419,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=8,rascal,0,,"191,252,579,774,776,1392,1467,1484,1512,1524,1544",,65,,,9,177
9,T.R. Robinson Antiquarian Book Collection,,,This collection comprises approximately 200 volumes of mainly eighteenth and nineteenth century textbooks on astronomy and physics.  Thomas Romney Robinson was appointed Director of Armagh Observatory in 1823.,The collection illustrates the breadth of T.R. Robinsons scientific interests.,7 Shelf-metres,Collection.Library.Special,The material in this collection is for reference only.,Closed,Donation,Closed,,,,,,,,,1499,1882,"Published list available: ""The Rare and Antiquarian Book Collection of the Armagh Observatory"", J. McFarland in The Irish Astronomical Journal, Vol.18 (1987), No.2, pp.102-115.",,2,95,420,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=9,rascal,0,,"73,1513",,54,,,,177
10,Textbooks and Scientific Journal Library Collection,,,"The collection contains almost 3000 textbooks on astronomy and related sciences, and almost 17000 astronomical and astrophysical research journal volumes.",The textbook collection covers most topics in astronomy and related sciences. There are long runs of the major astronomical and astrophysical research journals.,"3000 volumes,  17000 journal volumes.",Collection.Library.Text.Special.,The material in this collection is for reference only.,Active,Donation,Regular,,,,,,,,,1790,,"""The Rare and Antiquarian Book Collection of the Armagh Observatory,"" J. McFarland in The Irish Astronomical Journal, Vol.18 (1987), No.2, pp.102 - 115; In-house database and card catalogue available on-site.",,2,95,421,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=10,rascal,0,,72,,54,,,,177
