CollectorID,CollectorName,CollectorOrganisation,CollectorRole,CollectorHistory,OldCollectorID,OldCollectionID
504, Royal Belfast Botanic and Horticultural Company Ltd,0, Botanic and Horticultural Society,The Belfast Botanic and Horticultural Society was formed in February 1827. In 1860 the Society was replaced by the Royal Belfast Botanic and Horticultural Company Ltd with a board of fifteen directors. The Botanic Gardens were purchased by Belfast Corporation in 1894. The Company was liquidated in 1897.,,
172,"Adair, C.W., Colonel",0,,"Descendant of Capt James Adair (d. 1685) originally of Galloway, a connection of Sir Robert Adair of Kinhilt and Ballymena. The Adair Family were a important landowning family in the Co. Antrim area from the 17th century onwards with successive generations playing their part in local politics, military affairs and the Presbyterian Church in Ireland. Interesting members include Charles Adair (1737-1810), who was a member of the Donegore Yeomanry and Infantry which was raised and drilled on the family's property, was held up by rebels during the 1798 Rebellion. Another member, Henry Adair, High Sheriff for Co. Antrim in 1871, was a principal in what is believed to have been the last duel fought in Ireland on 9 February 1841, near Belfast.",211,445
373,"Adams, Brendan (1917-1981)",0,Archivist,"Brendan Adams was curator of language/Dialect Archivist at the Ulster Folk &amp; Transport Museum from c. 1964 until his sudden death in 1981. He was a scholar of manifold interests and commitments, respected within both academic and public circles for his work on dialect, lingustic history, place-names, personal names and folklore etc, becoming a leading authority on Ulster dialect. He served as Chairman of the Ulster Place-Name Society and the North of Ireland Family History Society and Secretary/Treasurer of the Ulster Society for Medieval Latin Studies. He was also member of the Royal Irish Academy from 1969, serving as RIA representative on the Irish National Committee for Modern Language Studies, Board member of An Chomhairle Ealion, and member of the Council for Name Studies in Great Britain and Ireland. Source: ""In Memoriam, Brendan Adams, MRIA (1917-1981), Deirdre Flanagan in Bulletin of the Ulster Place-Name Society, Series 2, Volume 4 (1981-82).",418,712
177,"Andrade, Edward Neville da Costa (1887-1971)",0,Academic,"Edward Neville da Costa Andrade was born in London on 1887. A physicist, he studied at London, Heidelberg and Cambridge before becoming Professor of Physics at Woolwich and London University. He also held the post of Director at both the Royal Institution and the Davy-Farraday Laboratory and his best known research was in the physics of metals and liquids. He was interested in the history of seventeenth century science, particularly in the history of Isaac Newton and Richard Hooke and edited the tercentenary collection of Newton’s letters. Aside from science his main interest was literature and amongst his many scientific works he also found time to publish poetry. He died in 1971.",216,561
44,"Andrews, Thomas (1813-1885)",0,Academic,"Born in Belfast in 1813, Thomas Andrews was an eminent chemist and physicist of European reputation. Educated at the Belfast Academical Institution, he received his formal training at university in Glasgow, Paris and Dublin as well as in Edinburgh where he was awarded his M.D in 1835. He spent most of his career in the employ of Queen’s College Belfast where he occupied the positions of College Vice President and Professor of Chemistry from 1849-79, being notable for his work on the liquefaction of gases, which eventually led to such inventions as the domestic refrigerator, and for proving that ozone is a form of oxygen. He died in Belfast on November 26, 1885.",64,71
182,"Archdale, H.B. Esq",0,,No details available.,221,448
272,"Archdale, J.B., Lieutenant-Colonel",0,,No details available.,313,448
508,"Bairéad, Ciarán (1905-1976)",0,,,,
507,"Bairéad, Stiophán (1867-1921)",0,,,,
254,"Barrington Baker, W. ",0,Banker and Private Collector,"Mr W. Barrington-Baker was a Banker by profession. He was also a keen book collector with an interest in the theatre. He was honorary secretary of the National Literary Society, Dublin when he lived there. The Abbey Theatre developed through this. He was a friend of W. B. Yeats, J.M. Synge, George Russell and Dr Sigerson. He was also a particular friend of Forrest Reid and Rev. James Rutherford.",293,594
516,Bernard Partridge,0,Actor/Cartoonist,"Sir Bernard Partridge, artist, cartoonist, and actor, was born in London, England, on October 11, 1861. He was educated at Stonyhurst College, Lancashire, and later studied at the West London School of Art. Partridge worked briefly as a stained-glass designer and acted under the name of ""Bernard Gould."" After this acting experience, Partridge stopped acting and turned exclusively to drawing. Partridge painted two portraits of Shaw: one in 1894 and another in 1925. In 1891, Partridge joined the staff of Punch in 1891 as a junior cartoonist. He slowly gained promotions over the next eighteen years until he became principal cartoonist in 1909. Though his career began with humorous and theatrical cartoons, Partridge began drawing political cartoons for Punch in 1899 and continued to do so until his retirement in 1945. In 1925, Partridge was knighted. He died on August 9, 1945.",,
256,"Bigger, F.J. (1863-1926)",0,Private Collector,"F J Bigger was born in Belfast, in 1863. A practising solicitor, his interest was chiefly in Irish antiquities rather than law and he devoted his life to the study of Irish archaeology and Ulster history. A member of the Royal Irish Academy, he also edited the Ulster Journal of Archaeology and published works relating to Irish penal crosses, the Ulster Land War of 1770 and William Orr, a Northern United Irishman. His particular interests included the history of Belfast, the United Irish Rebellion and the Irish language. He died in 1926.",295,597
3,"Blacker, William, Col.",0,Private collector,"Col. William Blacker was a member of the Blacker family, occupiers of Carrickblacker House, Portadown since 1692. The Blacker family came originally from Yorkshire, they were heavily involved in church and army life.",21,11
188,"Blackwood, Reginald Walter Henry (1883-1961)",0,Private Collector,"R. W. H. Blackwood was born in Seaforde, County Down, He was educated at Royal Belfast Academical Institution and Queen's University, Belfast. He qualified as a solicitor, but never practised. He joined the Belfast Library and Society for Promoting Knowledge in the early 1920s and the Board of Governors in 1927. He was apponted President to the society and library in 1949. During his time as President many improvements were carried out to the library. Blackwood was a genealogist of some note, with a keen interest in local history.",227,533
302,"Blake, Robert F. (1867-1944)",0,Academic,"Robert F. Blake was born at York in March, 1867, the eldest son of the Rev. J.F. Blake, MA, formerly Professor of Natural Science, University College, Nottingham. He was educated at University College School, Gower Street, London, and subsequently at University College, Nottingham, where he made a special study of analytical chemistry. In 1887, he came to Belfast as demonstrator of chemistry at Queen's College, and was also for some years chemistry master at the Belfast Royal Academy and then at Methodist College. He was an elected Fellow of both the Institute of Chemistry and the Chemical Society. He carried out original research in conjunction with Professor E.A.Letts of Queen's University which resulted in the publication of several important papers on organic and analytical chemistry. In 1905 he married Josephine Sloss and they had two sons, Philip and Frederick. In 1910 he was appointed Public Analyst and Agriculturalist Analyst to Co. Tyrone, and was medicine analyst to 15 Poor Law Unions (in all counties except Fermanagh). He died in 1944.",345,648
178,"Boyd, Andrew",0,Writer,Andrew Boyd (19 -19 ) was a Belfast writer,217,567
506,"Boyle, Kevin (C. Kevin)",0,,,,
47,"Brett, Charles, Sir (1839-1926)",0,Solicitor and Private Benefactor,"b. 1839. Solicitor with the Belfast firm, L'Estrange &amp; Brett, one of the oldest established law firms in Ireland (est. 1796). Served as Member of the Council of the Belfast Chamber of Commerce and on the 1st Senate of Queen's University of Belfast under the Charter of 1908. d. 1926.",68,74
503,Brown Street National School,0,School,Brown Street Sunday School was one of two endowed schools in Belfast in the nineteenth century. It opened in 1814 and had its origins in the Sunday School movement in Ireland. The school was transferred to the Belfast Education Authority in 1923.,,
243,"Brown, Harold ",0,,"Late resident of The Mall, Downpatrick, Co. Down. No further details available.",282,477
266,"Bryson, Samuel, Dr. (1778-1853)",0,Private Collector,"Dr Samuel Bryson Surgeon and Gaelic Scholar. b. Belfast, 1778; became assistant surgeon in the army; on staff of Old Royal Hospital, Frederick Street, Belfast, 1836; Developed an early fascination with which his father, the Rev. John Bryson, had held for the ancient culture and literature of Ireland by assembling and copying a vast collection of rare manuscripts and by promoting the study of the Irish language and literature; d. Belfast, 1853. Publications included: Remains of the Irish Bards (1805) Source: Concise Dictionary of Irish Biography, John S. Crone (Dublin, 1928); Dictionary of Ulster Biography, Kate Newmann (Belfast, 1993)",307,570
