LanguageID,Language
1,Afrikaans
2,Akan
3,Albanian
4,Algerian
5,Amharic
6,American Sign Language
7,Anuak
8,Arabic
9,Armenian
10,Ashanti
11,Assyrian
12,Azerbaijani
13,Badini
14,Bajuni
15,Bambara
16,Basque
17,Behdini
18,Belorussian
19,Bengali
20,Berber
21,Bosnian
22,Bulgarian
23,Burmese
24,Cantonese
25,Catalan
26,Chaldean
27,Chaochow
28,Chamorro
29,Chavacano
30,Chuukese
31,Creole
32,Croatian
33,Czech
34,Dakota
35,Danish
36,Dari
37,Dinka
38,Dutch
39,Eritrean
40,Estonian
41,Ewe
42,Farsi
43,Fijian Hindi
44,Finish
45,Flemish
46,French
47,French Canadian
48,Fukienese
49,Fula
50,Fulani
51,Fuzhou
52,Ga
53,Gaelic
54,Georgian
55,German
56,Gorani
57,Greek
58,Gujarati
59,HaitianCreole
60,Hakka
61,Hakka–China
62,Hakka-Taiwan
63,Hausa
64,Hebrew
65,Hindi
66,Hmong
67,Hungarian
68,Ibanag
69,Ibo
70,Icelandic
71,Igbo
72,Ilocano
73,Indonesian
74,Italian
75,Jakartanese
76,Japanese
77,Javanese
78,Karen
79,Kashmiri
80,Khmer (Cambodian)
81,Kinyarwanda
82,Kirundi
83,Korean
84,Kosovan
85,Kreo
86,Krio
87,Kurdish
88,Kurmanji
89,Lakota
90,Laotian
91,Latvian
92,Lebanese
93,Lingala
94,Lithuanian
95,Luganda
96,Lusoga
97,Luxembourgeois
98,Maay
99,Macedonian
100,Malagasy
101,Malay
102,Malayalam
103,Maltese
104,Mandarin
105,Mandingo
106,Mandinka
107,Mankon
108,Marshallese
109,Mien
110,Mina
111,Mirpuri
112,Mixteco
113,Moldovan
114,Mongolian
115,Navajo
116,Ndebele
117,Neapolitan
118,Nepali
119,Nigerian Pidgin English
120,Norwegian
121,Nuer
122,Oromo
123,Papiamento
124,Pashto
125,Patois
126,Persian
127,Pidgin English
128,Polish
129,Portuguese
130,Portuguese Creole
131,Pothwari
132,Punjabi
133,Romanian
134,Russian
135,Samoan
136,Serbian
137,Shanghainese
138,Shona
139,Sicilian
140,Sinhalese
141,Sindhi
142,Slovak
143,Slovenian
144,Somali
145,Sorani
146,Spanish
147,SriLankan
148,Swahili
149,Swedish
150,Sylhetti
151,Szechuan
152,Tagalog
153,Taiwanese
154,Tamil
155,Telugu
156,Thai
157,Tibetan
158,Tigre
159,Tigrinya
160,Toishanese
161,Tongan
162,Tshiluba
163,Turkish
164,Twi
165,Ukrainian
166,Urdu
167,Vietnamese
168,Visayan
169,Welsh
170,Wolof
171,Yiddish
172,Yoruba
173,Yupik
174,Aramaic
175,Breton
176,Chinese
177,English
178,Ethiopic
179,Hiberno-English
180,Hindustani
181,Irish
182,Irish Gaelic
183,Latin
184,Norse
185,Old Irish
186,Sanskrit
187,Scots-Gaelige
188,Scottish Gaelic
189,Shelta
190,Ulster Dialect
191,Ulster Scots
