"description","LocationID","LocationType","LocationName","LocationAddress1","LocationAddress2","LocationAddress3","LocationCity","LocationCounty","LocationCountry","LocationPostcode","LocationWebsite","LocationAccess","AdministratorRole","AdministratorPhone","AdministratorFax","AdministratorEmail","OldLocID"
"Armagh County Museum is situated on the Mall, in the centre of Armagh city.  Opened in 1937 by Armagh County Council it is the oldest County Museum in Ireland.  The collections of the museum are based on specimens gathered by the Armagh Natural History and Philosophical Society during the 19th century (1839).  The exhibitions reveal the rich and varied history of the County, ranging from prehistoric artefacts to more recent material.  As well as permanent displays of military coustumes, wedding dresses, ceramics, natural history specimens, railway material and household items, special temporary exhibitions are held throughout the year.  There is an extensive reference library and photographic and map collections.  The reference library was assembled initially by the first curator T. G. F. Paterson.  The museum is now a branch of Ulster Museum in Belfast.","1",,"Armagh County Museum","The Mall East, Armagh",,,,,,"BT61 9BE","http://www.armaghcountymuseum.org.uk/","Library hours: Monday-Friday 10.00 - 17.00 (by appointment) Museum hours: Monday-Friday 10.00 - 17.00 and Saturday 10.00 - 13.00 and 14.00 - 17.00 Admission free","Curator","+44 (0)28 3752 3070","+44 (0)28 3752 2631","catherine.mccullough.um@nics.gov.uk","13"
"The Armagh Observatory, founded in 1790 by Archbishop Richard Robinson, is the oldest continuously functioning astronomical research institute in Great Britain and Ireland. It stands close to the centre of the historic City of Armagh in attractive, landscaped grounds that include a scale model of the solar system and universe, known as the Armagh Astropark, and the Armagh Planetarium. The Observatory's main function is to undertake original research of a world-class academic standard which broadens and expands our understanding of astronomy. Current programmes, which have many practical applications, include investigations into the Sun and other stars, solar system astronomy, solar variability and the Earth's climate, and the Near-Earth-Object hazard to civilization. The Observatory also has a unique 200-year long meteorological record, the longest in the UK and Ireland from a single site. Full details of the Observatory's current research programmes are available from the web-site: <a href="" http://star.arm.ac.uk/"" target=""new_window""> http://star.arm.ac.uk/</a>. Complementing this active research role, the Observatory is committed to a programme of public understanding of science. This includes visitors, primarily to the Armagh Astropark; presentations to groups; contacts with the press; and the development of a rich web-site to facilitate access to the latest research findings. The Observatory grounds and Astropark are open to the public. School, society, and general public tours of the Observatory may be arranged by appointment.","2",,"Armagh Observatory","College Hill, Armagh,",,,,,"6","BT61 9DG","http://star.arm.ac.uk/","The library and archives are open to researchers, the stacks are open - except the special collections.  It is necessary to arrange an appointment with the Librarian prior to a visit.  Access to the collections is free, though charges may be made for","Librarian","+44 (0)28 3752 2928","+44 (0)28 3752 7174","library@star.arm.ac.uk","14"
"Armagh Public Library was founded in 1771 by Archbishop Richard Robinson. The core part of the collection is the Archbishop's personal library. This was later added to in the 1830s by Archbishop Beresford. Other provenances associated with the collection held at the Armagh Public Library include Edward Conway, 2nd Viscount Killultagh (d. 1655, 60 v), J. E. Jackson, Dean of Armagh (d1841, 300 v), H. B. Swanzy, Dean of Dromore (d. 1932, 460 v), R. G. S. King, Dean of Derry (d. 1958). In the 1990s there was a campaign to clean and re-catalogue the entire library stock. The collection is now catalogued and available online. There is a continuous programme of improvement, conservation and preservation in place now.","3","1","Armagh Public Library","43 Abbey Street",,,"Armagh",,"2","BT61 7DY","http://armaghpubliclibrary.arm.ac.uk","Whilst access to the Library is free, all donations are appreciated. Charges are administered for computer searches and photocopying. Library opening times and further details may be found on the website http://armaghpubliclibrary.arm.ac.uk/","Assistant Keeper","00442837523142",,"admin@armaghpubliclibrary.co.uk","15"
"Regional branch of the BBC (British Broadcasting Corporation) established in Belfast in 1924.  See also:  R. Cathcart, The Most Contrary Region (1984);  J. Bardon, Beyond the Studio (Blackstaff Press, 2000)","5",,"BBC Northern Ireland Archive","c/o Ulster Folk & Transport Museum, Cultra, Co. Down",,,,,"6","BT18 0EU","http://www.uftm.org.uk/collections_and_research/archival_collections/BBC_northern_ireland_archive/","Supervised access only on prior appointment with the Broadcast Archivist. Copies of the material cannot be provided due to BBC copyright restrictions. Listening facilities are, however, available on-site, but are limited to two researchers at any one time. A Library Listening Scheme is also in operation whereby copies of radio programmes can be loaned through the Northern Ireland public library network for on-site access where listening facilities are available locally. There are no charges for using the archive service.  Opening Hours: Monday-Friday, 09.00-17.00",,"+44 (0)28 9042 8428","+44 (0)28 9042 8728","archives.ni@bbc.co.uk","17"
"Belfast Central Library was opened in October 1888 by the Lord Lieutenant of Ireland, the Marquis of Londonderry.  The building was designed by the eminaent architect W. H. Lynn.  The Newsroon (newspaper reading room) was the first part of the Library to be opened to the public, this was followed a month later by the opening of the Lending Library.  The Reference Library was stocked and opened to the public in late 1889.Sir James Henderson donated 3,000 volumes to the Reference Library and a further 8,000 were selected with advice from the professors of Queen’s College (Queen’s University Belfast).  A printed catalogue of the Library appeared in 1896.  Belfast Central Library was granted United Nations depository status in 1956 and HMSO depository status in 1961.Today the stock in Central Library exceeds one million items and includes books, maps, newspapers, patents, sound recordings and government and agency publications. Much of the material in the various collections is listed on computer, while access to other sources is provided by CD Rom facilities and on-line access to more than 400 databases worldwide.","6",,"Belfast Central Library","Belfast Ulster and Irish Studies Department, Royal Avenue, Belfast",,,,,"6","BT1 1EA","http://www.belb.org.uk/library/centralLibrary.htm","Most of the stock is available for loan to any registered member of the Northern Ireland Library Authority. Hire charges apply to audio/ visual  stock. Borrower tickets can be acquired from any public library in Northern Ireland on production of valid identification confirming name and address. A limited amount of material is for reference only. No prior appointment is necessary. Library opening hours are   Monday to Thursday (09.00-20.00), Friday (09.00-17.30) and Saturday (09.00-16.30).","Irish & Local Studies Librarian","+44 (0)28 9050 9150","+44 (0)28 9031 2886","p.walker@libraries.belfast-elb.gov.uk","18"
"CAIN is based within the University of Ulster and is located at the Magee Campus.  The University of Ulster has recently provided funding for the CAIN project.  The Project began work in January 1996.  The web site was launched in March 1997.","7",,"CAIN Project","Aberfoyle House, University of Ulster Magee Campus, Northland Road, Derry",,,,,"6","BT48 7JA","http://www.ark.ac.uk/cain","CAIN is a web based resource, it may be accessed freely on the world wide web.","Project Manager","+44 (0)28 7137 5517","+44 (0)28 7137 5510","m.melaugh@ulster.ac.uk","21"
,"8","1","Carrickfergus Library","2 Joymount Court",,,"Carrickfergus",,,"BT38 7DQ","http://www.librariesni.org.uk/Libraries/Pages/Carrickfergus-Library.aspx","http://www.librariesni.org.uk/Libraries/Pages/Carrickfergus-Library.aspx<br /><br />Visitors are welcome to the library, but identification may be required.<br /> Borrowing privileges for visitors may be restricted. Consult with Librarian. <br /><br />Facilities include a self-service photocopier and on-line public access catalogue. Disabled access also available. <br /><br />Opening Times:<br /> Mon &amp; Wed: 09.30-20.00<br />Tue, Thurs, Fri &amp; Sat: 09.30-17.00<br />Sun: Closed","Librarian","00442893362261",,"carrickfergus.library@librariesni.org.uk","22"
"The Community Relations Council was formed in January 1990 as an independent company and a registered charity to promote better community relations between Protestants and Catholics in Northern Ireland and, equally, to promote the recognition of cultural diversity. It originated in 1986 as a proposal of a research report commissioned by the NI Standing Advisory Commission for Human Rights, a proposal which was subsequently supported by major peace groups, the NI Voluntary Trust and by Government. Today, the Council consists of over 20 members, one third of which are appointed by Government, with the remainder drawn mainly from the community, voluntary, education and business sectors. Its principal activities involve the promotion of community relations in a wide variety of organisations and settings in Northern Ireland through the provision of practical support to local groups and other institutions, by developing opportunities for cross-community understanding, increasing public awareness of community relations work and encouragiing constructive debate throughout Northern Ireland.","9",,"Community Relations Council","6 Murray Street, Belfast, Northern Ireland",,,,,"6","BT1 6DN","http://www.community-relations.org.uk","The library is open to community relations researchers between  09.30 - 16.45  Monday to Friday","Director of Communications","+44 (0)28 9022 7500","+44 (0)28 9022 7551","info@community-relations.org.uk ","25"
"Craigavon Museum services is part of Craigavon Borough council and was established in 1995.  Craigavon does not currently have a premanent venue for the exhibition of its artefacts.  At the moment an outreach programme operates within the community.  The library was named in honour of Philip Wilson who was the first Curator of Craigavon Museum Services.  The Philip B Wilson Library is a purpose built library within the Museum services building and was officially opened on 12th May 2000.  The library continues to grow and offers a valuable source of research material for those interested in the history of the Craigavon area.","10",,"Craigavon Museum Services","Pinebank House, 2 Tullygally Road, Craigavon, County Armagh",,,,,"6","BT65 5BY","http://www.craigavon.gov.uk/museum/Homepage.htm","The library is open Monday to Friday (excluding bank & public holidays) from 10.00-13.00 and 14.00-16.00 for consultation only. A photocopying service is available within the library.  The library does not hold primary sources of information and so is uns","Curator","+44 (0)28 3834 1635","+44 (0)28 3834 1331","museum@craigavon.gov.uk","26"
,"11","1","Derry Central Library","35 Foyle Street",,,"Derry","Londonderry","2","BT48 6AL","http://www.welbni.org","http://www.librariesni.org.uk/Libraries/Pages/Derry-Central-Library.aspx<br /><br />Opening Times:<br /><br /> Mon: 08.30-20.00<br />Tues, Wed, Thurs &amp; Fri: 08.30-20.00<br />Sat: 09.30-16.30<br />Sun: Closed","Librarian","00442871272310",,"derrycentral.library@librariesni.org.uk","30"
