OwnerID,OwnerName,OwnerOrganisation,OwnerRole,OwnerTelephone,OwnerFax,OwnerEmail,OwnerHistory,OldCollectionID,OldOwnerID
42,"Henry, R.M. Descendants",0,,,,,Descendants of R.M. Henry. No details available,23,18
56,"Oppé, A.S. and descendants",0,,,,,"Resident of London and brother-in-law of the late Mr James Thomson, son of the eminent 19th Century engineer, Professor James Thomson (1822-1892) and nephew of Lord Kelvin (1824-1907).",49,33
69,"Ferguson, G.W.  (d. c. 1939) Descendants ",0,,,,,No details available.,65,46
71,"Sutton (1825-1901), H.S. Descendants ",0,,,,,Descendants of H.S. Sutton (1825-1901). No details available.,67,48
72,"Deane, Lady and Dr Louis McRory and descendants",0,,,,,Grandchildren of Edward Bunting (1773-1843). No further details available,70,49
73,Andrews' Family Descendants ,0,,,,,Descendants of the Andrews' Family. No details available,71,50
74,"Charles, R.H. (1855-1931), Descendants",0,,,,,Descendants of R.H. Charles (1855-1931). No details available.,72,51
76,"Brett, Charles, Sir (1839-1926) Descendants",0,,,,,"Descendants of Sir Charles  Brett (1839-1926). Family members still associated with the legal firm, L'Estrange &amp; Brett, Belfast.",74,53
91,"Anglesey, Marquess of ",0,,,,,Marquess of Anglesey. No details available,447,68
113,"Gardiner, C.R.",0,,,,,"Mrs C.R. Gardiner, descendant of George and Edward Benn.",452,90
134,"Craig, Denis, MBE",0,,,,,Mr Craig was owner of the collection when it was transferred to PRONI in May 1962. Ownership still remains in the family.,455,111
144,"Ellis, W.K. ",0,,,,,No further details available,459,121
205,"McCance, S., Captain  ",0,,,,,No details available,471,181
225,"Ryle Fay, Charles ",0,,,,,No details available,460,201
255,"Savory, Douglas, Sir and Lady",0,,,,,Sir Douglas and Lady Savory. No information available,478,231
266,"Spender, Wilfrid, Sir",0,,,,,No details available.,480,242
291,"Rivers, Barbara ",0,,,,,"Mrs Barbara Rivers, resident of Fareham, Hampshire. No further information",486,268
325,"Bury, Mairi, Lady",0,,,,,"Lady Mairi Bury, legal descendant and successor of Robert Stewart (1769-1822), Viscount Castlereagh and 2nd Marquess of Londonderry. Viscount Castlereagh was son of Robert Stewart, 1st Marquis of Londonderry and MP for Co. Down in the Irish Parliament and Sarah Frances, daughter of the 1st Marquis of Hertford, was born in Dublin and educated at Armagh and Cambridge. A politician and leading British statesman, his major achievements date from 1812 when as Foreign Secretary he masterminded Britain's policy of diplomacy during the latter part of the Napoleonic Wars. He died by his own hand in 1822. See also: <a href=""http://proni.nics.gov.uk/records/private/castlere.htm"" target=""new_window"">http://proni.nics.gov.uk/records/private/castlere.htm</a>",653,302
330,"Langham, Ethel Sarah, Lady",0,,,,,"Lady Ethel Sarah Langham, legal descendant of James Emerson Tennant (1804-1869) of Tempo Manor, Tempo, Co. Fermanagh. Emerson Tennent was the third son of a Belfast merchant, William Emerson. Educated at Trinity College Dublin, he took up the cause of Greek independence and was called to the bar at Lincoln's Inn in 1831. In 1832, after marrying Letitia Tennent, the daughter and co-heiress of a wealthy Belfast banker, William Tennent, he added Tennent to his name by royal licence. He was MP for Belfast 1832-1845 and held various public appointments, including Permanent Secretary to the Board of Trade.",657,307
342,"Hill, Edwin D.",0,,,,,"Resident, Ballynascreen, Greenisland, Co. Antrim. No further information available.",667,319
344,"Connolly, A. E. (Decd.)",0,,,,,"Former resident of 'Darrigcluid', Church Road, Newtownbreda, Belfast. Now deceased. Ownership now resting with surviving members of the Connelly Family.",669,321
346,"Toner, Carolyn (nee Tipping)",0,,,,,"Mrs Carolyn Toner (nee Tipping), legal descendent/representatve of the Tipping Family of Bellurgan Park, Ballymascanlan, Co. Louth. The first known record of the family in the area is of a grant by Charles II in 1666 to Thomas Tipping of certain lands in Westmeath and Down. Thomas Tipping called of Castletown bought Bellurgan and other lands in 1723. Edward Tipping inherited the estate in 1847 at a time of financial difficulty.",671,323
428,Libraries NI,0,Public Library Service,00442837520738,,enquiries@librariesni.org.uk,"The Northern Ireland Library Authority (Libraries NI) was established in April 2009 as a result of the Review of Public Administration. Libraries NI has the statutory responsibility for the provision of public library services in Northern Ireland. Its functions are laid down in the Libraries Act (Northern Ireland) 2008. It is a Non Departmental Public Body which reports to the Department of Culture, Arts and Leisure. The Board of the Authority consists of a Chairperson and 18 Members, 11 of whom are Councillors, within the meaning of the Local Government Act (Northern Ireland) 1972. All Board Members are appointed by the Minister of Culture, Arts and Leisure. The executive business of the Board is carried out by a team of officers under the leadership of the Chief Executive. The Executive Team is organised into three strategic units, each being led by a member of the Senior Management Team.",,
429,Union Theological College,0,Academic library, 00442890205093, 00442890205099, librarian@union.ac.uk,"The Union Theological College, established by the Presbyterian Church in Ireland, provides teaching in biblical, theological, historical, pastoral and mission studies to a student body drawn from all main denominations and none.The College seeks to prepare men and women for ministry and mission in Ireland and beyond. Students range from school-leavers to the retired, with most coming from Ireland (North and South), although there are some international students. Most students are enrolled for degrees or diplomas through the Institute of Theology of Queen's University or through the Presbyterian Theological Faculty, Ireland. Undergraduate and postgraduate courses in theology, and professional Ministry courses are offered by the College. Union Theological College was formed in 1978 by the amalgamation of The Presbyterian ('Assembly's') College, Belfast and Magee Theological College, Londonderry.",,
430,Presbyterian Church in Ireland    ,0,Church, 00442890205093, 00442890205099, librarian@union.ac.uk,"The Presbyterian Church in Ireland has its origins in Scottish migrations to Ulster in the early seventeenth century during the reign of James I of England. The Presbytery of Ulster was created in 1642 by chaplains of the Scottish army. Under Cromwell church membership grew, but after the Restoration, nonconforming ministers were removed from parishes of the Established Church. Fortunately Presbyterianism was able to continue in spite of this pressure and persecution. From the 1690s, Presbyterian congregations were organised into the Synod of Ulster and enjoyed a level of religious freedom, but suffered continuing economic hardship and legal disabilities under the penal laws. Many Presbyterians strove to bring about reform and hence during the eighteenth century Presbyterians were involved in the United Irishmen. Tensions arose within the Synod of Ulster during this period which continued to linger into the nineteenth century. Eventually obligatory subscription to the Westminster Confession of Faith was reintroduced which facilitated the union of the Synod of Ulster with the Seceders in 1840 to create the General Assembly of the Presbyterian Church in Ireland. The united church has been active locally and internationally since then, seeing special growth during the Ulster revival of 1859. The Presbyterian Church in Ireland currently has over 240,000 members belonging to 545 congregations across 19 Presbyteries throughout the whole of Ireland.",,
431,National Archives and Record Administration (NARA),0,Archive of the United States Government,,,,NARA is the “nation’s record keeper” for the United States Government. NARA retains records that are deemed legally or historically important. Although it was set up by Franklin D. Roosevelt in 1934 it contains records dating back to as early as 1775. The organisation is similar to the National Archives of other nations.<br /><br />http://www.archives.gov <br /><br />,,
