NameID,AgentName,OldNameID
1,,2246
2,,2248
3,,2249
4,,2250
5,,2252
6,,2261
7,,2268
8,6th Dragoons (Inniskillings),2240
9,6th Inniskilling Dragoons,1369
10,Abbey Theatre,526
11,"Acheson family, Earls of Gosford",2057
12,"Adair Family of Loughanmore, Co. Antrim",541
13,"Adair, Benjamin (1655-?), landowner, Loughanmore, Co. Antrim",542
14,"Adair, Captain James (c. 1610-1686), landowner, Loughanmore, Co. Antrim",543
15,"Adair, Charles (1737-1810), landowner, Loughanmore, Co. Antrim",544
16,"Adair, Thomas Benjamin (1705-1768), landowner, Loughanmore, Co. Antrim",545
17,"Adams, Brendan (1917-1981), linguist and dialectologist",2024
18,"Adams, Brendan (1917-1981), linguist and dialectologist",2032
19,"Adams, Brendan (1917-1981), linguist and dialectologist",2043
20,"Adams, Gerry, politician",546
21,"Addington, Henry (1757-1844), first Viscount Sidmouth, British Home Secretary",547
22,Admiralty,1840
23,"AE. Russell, George (1867-1935)",548
24,"Aglen, Sir, Francis",342
25,Air Ministry,1842
26,"Albert (1819-1861), Prince Consort",549
27,"Alexander, Du Pre (1777-1839), 2nd Earl Caledon",1754
28,"Alexander, James (1730-1802), 1st Earl Caledon",1753
29,"Alexander, William, Bishop of Derry",550
30,"Alexandria (1844-1925), Queen Consort",551
31,Alhambra Theatre,552
32,Alhambra Theatre,553
33,"Allingham, William (1824-1889), poet",555
34,"Allingham, William (1824-1889), poet",486
35,"Allingham, William (1824-1889), poet",1585
36,"Allingham, William (1824-1889), poet",1602
37,"Allingham, William (1824-1889), poet",1639
38,"Allison, Herbert Thackwray (1854-1947), professional photographer",556
39,"Allison, Herbert Thackwray (1880-1957), professional photographer",557
40,"Anacreontic Society; Alday, Paul.",2256
41,Ancient Monuments Advisory Committee,1920
42,Ancient Monuments Advisory Council,1900
43,"Anderson, John",558
44,"Anderson, John",559
45,Andersonstown News,560
46,"Andrade, Edward Neville da Costa (1887-1971)",561
47,Andrews Family of Comber (fl. c 1700+),562
48,"Andrews Mill, Comber",563
49,"Andrews, James",564
50,"Andrews, James Millar (1871-1916), Prime Minister of Northern Ireland",565
51,"Andrews, John",566
52,"Andrews, John (1782-1864)",567
53,"Andrews, Professor, Thomas (1813-1885), academic",499
54,"Andrews, Professor, Thomas (1813-1885), academic",406
55,"Andrews, Professor, Thomas (1813-1885), academic",1594
56,"Andrews, Thomas (1843-1916)",568
57,"Anglesey, Earls of",1721
58,"Annesley, Earls",1722
59,"Antient Concerts Society; Sons of Handel; Robinson, Joseph, 1815-1898; Robinson, Francis",2254
60,Antrim Presbytery,1579
61,Antrim Presbytery,535
62,Antrim Presbytery,537
63,"Archdale, H.B.",569
64,"Archdale, William (1618-80), Sheriff of Fermanagh",570
65,Archdiocese of Armagh,1683
66,Archdiocese of Armagh,1686
67,Ards Borough Council,571
68,Aristarchus,572
69,Aristotle,382
70,ARK,1572
71,Armagh Observatory,1613
72,Armagh Observatory,1614
73,Armagh Observatory,1615
74,Armagh Observatory,573
75,Armagh Observatory,574
76,"Armar, Margetson",575
77,"Armour, Rev. J.B. (1841-1928), Presbyterian Minister, Ballymoney, Co. Antrim",576
78,Armstrong of Deans Hill,1732
79,"Armstrong, Colonel James (d. 1812)",1733
80,"Armstrong, Colonel W.",577
81,"Armstrong, James Wells",1735
82,"Armstrong, Major Thomas",1734
83,"Armstrong, Rt Hon. Henry Bruce (1844-1943)",1731
84,"Armstrong, William Fortescue (1843-1870)",1730
85,"Armstrong, William Jones (1794-1872)",1729
86,Arts Theatre,578
87,Arts Theatre,579
88,"Asquith, H.H. (1852-1928), British Prime Minister",1759
89,"Association of Professional, Executive, Clerical and Computer Staff.",580
90,"Attlee, Clement (1883-1967), Earl, British Prime Minister",581
91,"Audubon, John James, (1785-1855)",582
92,"Austen, Jane",1710
93,"Averell, Rev. Adam (1754-1847)",1958
94,"Badeley, J. F.",583
95,"Bagot, Daniel, Very Rev. Dean of Dromore",1654
96,"Baguley, Nell",463
97,"Baguley, Olive",462
98,"Bain, George S. (1939-  ), Vice-Chancellor of Queen's University Belfast, 1998-2004",2239
99,"Baker, W. Barrington",584
100,"Baker, W. Barrington",585
101,"Baker, W. Barrington",586
102,"Baldwin, Stanley (1867-1947), Conservative British Prime Minister",587
103,"Baldwin, Stanley (1867-1947), Conservative British Prime Minister",359
104,Baleu,588
105,"Balfour, Arthur J. (1848-1930), British Prime Minister",1800
106,"Balfour, G.W.",589
107,"Ball, J.J.",590
108,"Ball, Robert",591
109,"Ball, Sir, R.",416
110,Ballast Board,592
111,"Ballie, James O., General Secretary of the Ulster Unionist Council, 1963-74",2190
112,Ballymoney Agricultural and Debating Societies,593
113,Ballymoney Branch Library,1703
114,Ballymoney Branch Library,1618
115,Ballymoney Intermediate School,594
116,"Barrie, J.M.",1711
117,"Barrington Baker, W.",595
118,Barrow,596
119,"Barry, Michael",2029
120,"Barton, Archbishop of Armagh",597
121,"Bates, Sir Richard Dawson (1876-1949), General Secretary of the Ulster Unionist Council, 1906-21",2187
122,"Batley, Desmond",1983
123,"Bayly, John",598
124,"Bayly, Rev Edward, Dean of Ardfert",599
125,"Bayly, Sir Edward (d 1741)",600
126,"Bayly, Sir Nicholas (d 1783)",601
127,BBC,602
128,BBC,460
129,BBC,539
130,BBC Northern Ireland,538
131,BBC Northern Ireland,519
132,BBC Northern Ireland,603
133,"Beaufort, Daniel Augustus, (1739-1821)",604
134,"Beaufort, Sir Francis",605
135,"Beckett, Samuel (1906-1989) Irish playwright",606
136,"Beckett, Samuel (1906-1989) Irish playwright",302
137,"Bedell, William (1571-1642), Bishop of Kilmore",607
138,"Beer, Thomas",608
139,Belcoo Historical Society,2016
140,Belfast Academical Institute,404
141,Belfast and Ballymena Railway Company,1861
142,Belfast and Co. Down Railway Company,1862
143,Belfast Architectural Association,1865
144,Belfast Ballast Board,1964
145,Belfast Botanic and Horticultural Society,609
146,Belfast Burns Society,610
147,Belfast Central Library,611
148,Belfast Central Library,612
149,Belfast Central Library,1638
150,Belfast Charitable Institution,613
151,Belfast Charitable Society,614
